userId, titulo, conteudo,url
1, Corinthians campeão, Corinthians jogou coo palmeiras e ganhou o jogo, http://esporte.com
1, Ferrari lançou o novo modelo, Ferari , http://esporte.com
1, Ferrari é campeã na F1, Ferrari é campeã de construtores, http://esporte.com
2, Corinthians campeão, Corinthians jogou coo palmeiras e ganhou o jogo, http://esporte.com
2, Ferrari lançou o novo modelo, Ferari , http://esporte.com
2, Vulcão instinto é ativado novamente, Vulcão na itália é ativado novamente, http://internacional.com
2, Morador de coritiba ganha a mega sena , Morador de coritiba ganha a mega sena, http://regional.com
3, Corinthians campeão, Corinthians jogou coo palmeiras e ganhou o jogo, http://esporte.com
3, Ferrari lançou o novo modelo, Ferari , http://esporte.com
3, Ferrari é campeã na F1, Ferrari é campeã de construtores, http://esporte.com
3, Vulcão instinto é ativado novamente, Vulcão na itália é ativado novamente, http://internacional.com
3, Morador de coritiba ganha a mega sena , Morador de coritiba ganha a mega sena, http://regional.com
